t_index	term	df
6599	lion	2
6600	lionel	1
6601	lioniz	1
6602	lip	2
6603	lipent	1
6604	lippin	2
6605	lippold	45
6606	liquid	2
6607	lir	1
6608	lisa	24
6609	lisnard	2
6610	list	124
6611	listen	28
6612	lister	2
6613	lists	1
6614	lit	7
6615	liter	12
6616	literaci	1
6617	literatur	2
6618	lith	1
6619	liton	1
6620	litter	3
6621	littl	209
6622	littleknown	2
6623	litton	7
6624	littor	1
6625	liturgi	1
6626	liv	2
6627	live	298
6628	liveliest	1
6629	liver	1
6630	llagostera	4
6631	lleyton	8
6632	llosa	3
6633	lloyd	3
6634	load	58
6635	loader	6
6636	loan	37
6637	loayza	3
6638	lob	12
6639	lobbi	7
6640	lobbyist	1
6641	lobito	2
6642	local	123
6643	locani	4
6644	locat	53
6645	lock	29
6646	locker	1
6647	lockerbi	2
6648	lockup	1
6649	locu	1
6650	lodg	1
6651	loft	2
6652	lofti	2
6653	loftiest	1
6654	log	7
6655	logic	5
6656	logist	13
6657	logvinovich	1
6658	lohna	4
6659	loi	1
6660	loit	1
6661	london	32
6662	londonbas	7
6663	longabandon	2
6664	longbitt	1
6665	longer	72
6666	longerterm	2
6667	longest	1
6668	longestsought	1
6669	longestsurviv	1
6670	longev	1
6671	longhair	1
6672	longplan	1
6673	longrang	1
6674	longreach	1
6675	longres	2
6676	longrul	2
6677	longshot	2
6678	longsimm	2
6679	longstand	9
6680	longsuff	1
6681	longsuppress	1
6682	longterm	9
6683	longtim	35
6684	look	322
6685	lookout	3
6686	lookse	1
6687	loom	7
6688	loop	1
6689	loophol	2
6690	loos	23
6691	looseend	1
6692	loosen	7
6693	looser	2
6694	loot	11
6695	lopez	9
6696	lopsid	4
6697	loran	7
6698	lord	6
6699	lore	1
6700	lorensen	2
6701	lorenzo	6
6702	lori	1
6703	loron	2
6704	lorri	1
6705	lose	100
6706	loser	10
6707	loss	79
6708	lost	218
6709	lot	184
6710	lott	12
6711	lotteri	1
6712	lou	1
6713	loud	16
6714	loudli	1
6715	loudspeak	9
6716	loug	3
6717	loui	120
6718	louisarea	1
6719	louisiana	6
6720	louisvil	4
6721	lourd	1
6722	lousi	3
6723	love	57
6724	lowcut	2
6725	lowel	3
6726	lower	28
6727	lowerlevel	1
6728	lowerrank	1
6729	lowest	6
6730	lowestseed	1
6731	lowgrad	4
6732	lowincom	2
6733	lowkey	3
6734	lowlevel	7
6735	lowprofil	2
6736	lowtech	2
6737	loyal	18
6738	loyalist	18
6739	loyalti	10
6740	lsd	1
6741	lubbock	1
6742	luci	1
6743	lucia	2
6744	luciano	1
6745	lucio	2
6746	luck	4
6747	lucki	20
6748	luckier	1
6749	luckiest	3
6750	lucr	2
6751	ludwig	1
6752	lugar	4
6753	luggag	1
6754	lui	14
6755	lukin	1
6756	lumber	3
6757	lumberjack	1
6758	luna	2
6759	lunch	17
6760	luncheon	3
6761	lunchtim	2
6762	lung	9
6763	luong	19
6764	lurid	1
6765	lurin	1
6766	lush	1
6767	lust	1
6768	luther	3
6769	lutheran	1
6770	luxembourg	3
6771	luxor	2
6772	luxuri	5
6773	lvador	1
6774	lwrlwr	1
6775	lyhoogatnytimescom	1
6776	lynch	2
6777	lyndon	9
6778	lynn	3
6779	lyon	1
6780	lyric	4
6781	mac	4
6782	macarthur	1
6783	macdonald	14
6784	maceda	19
6785	macedonia	2
6786	machaca	4
6787	machet	11
6788	machin	29
6789	machineri	5
6790	machinist	2
6791	mack	11
6792	macon	1
6793	madden	1
6794	maddock	5
6795	madelein	43
6796	madelin	4
6797	madinat	1
6798	madison	4
6799	madix	1
6800	madra	4
6801	madrassah	3
6802	madrid	15
6803	maelstrom	1
6804	mafia	3
6805	magana	6
6806	maganbhai	5
6807	magazin	13
6808	mager	2
6809	maggi	2
6810	magic	2
6811	magistr	3
6812	magnanim	3
6813	magnat	3
6814	magnet	1
6815	magnifi	4
6816	magnific	1
6817	magnitogorsk	2
6818	magnitud	92
6819	magnu	14
6820	magnum	4
6821	mahajan	4
6822	mahatma	1
6823	mahesh	1
6824	mahmood	1
6825	mahmoud	1
6826	mahogani	1
6827	mahopac	1
6828	mahur	8
6829	maiden	1
6830	mail	14
6831	maim	4
6832	main	143
6833	mainagashev	1
6834	mainland	1
6835	mainli	18
6836	mainstay	1
6837	maintain	53
6838	mainten	29
6839	mainupl	1
6840	maj	5
6841	majdanpek	1
6842	majoli	7
6843	major	278
6844	majorityalbanian	1
6845	majorparti	1
6846	make	396
6847	maker	2
6848	makeshift	17
6849	maketa	2
6850	makeup	1
6851	malaysia	4
6852	malaysian	3
6853	malca	1
6854	malcolm	4
6855	male	2
6856	malevol	4
6857	malfunct	13
6858	malhotra	10
6859	mali	6
6860	malic	2
6861	maliss	1
6862	malivai	1
6863	mall	7
6864	malnourish	1
6865	malnutrit	1
6866	malon	1
6867	maloney	2
6868	mama	1
6869	mamad	2
6870	mamansk	1
6871	mammoth	2
6872	manag	94
6873	manama	5
6874	mananga	1
6875	manannikova	1
6876	manau	1
6877	manchest	1
6878	mandat	11
6879	mandatori	9
6880	mandela	1
6881	maneuv	30
6882	mangal	1
6883	mangl	12
6884	mangu	1
6885	manhattan	17
6886	manhunt	35
6887	mani	596
6888	mania	5
6889	manifest	1
6890	manifold	1
6891	manind	1
6892	manipul	30
6893	manmad	2
6894	mann	8
6895	manner	15
6896	manorama	1
6897	mansfield	1
6898	mansi	3
6899	mansion	28
6900	mansiz	2
6901	mansoob	1
6902	mansoon	1
6903	mantra	4
6904	manual	3
6905	manuel	9
6906	manufactur	14
6907	maoist	2
6908	map	14
6909	maquiladora	1
6910	mar	20
6911	maradiaga	2
6912	maraniss	1
6913	marat	27
6914	marathon	6
6915	marbella	1
6916	marbl	2
6917	marblehal	1
6918	marburi	1
6919	marc	32
6920	marcela	1
6921	marcelo	2
6922	march	89
6923	marchenko	1
6924	marcher	8
6925	marci	1
6926	marco	24
6927	marg	1
6928	margaret	4
6929	margin	33
6930	margolin	3
6931	mari	27
6932	maria	18
6933	mariam	1
6934	mariana	2
6935	mariano	1
6936	marietta	3
6937	marija	1
6938	marijuana	7
6939	marilyn	4
6940	marin	52
6941	marineborn	1
6942	mario	9
6943	marit	2
6944	maritim	17
6945	marjanov	3
6946	mark	100
6947	market	42
6948	marketplac	2
6949	marko	18
6950	markov	15
6951	marlborough	2
6952	marlen	2
6953	marlin	36
6954	marlton	1
6955	marmian	2
6956	maroon	1
6957	marquez	39
6958	marrero	2
6959	marri	8
6960	marriag	10
6961	marroquin	1
6962	marrow	1
6963	marsha	5
6964	marshal	16
6965	marshallfor	1
6966	marshallreport	1
6967	marta	2
6968	martha	3
6969	marti	2
6970	martial	1
6971	martin	64
6972	martina	43
6973	martinez	10
6974	martyr	3
6975	martz	2
6976	marv	1
6977	marvel	2
6978	marxist	12
6979	maryland	3
6980	masia	1
6981	mask	6
6982	masondixon	4
6983	masonri	11
6984	masquerad	1
6985	mass	49
6986	massachusett	4
6987	massachusettss	1
6988	massacr	7
6989	masseus	1
6990	massi	10
6991	massif	1
6992	massiv	74
6993	mast	1
6994	master	15
6995	masteri	1
6996	mastermind	33
6997	mat	1
6998	match	260
6999	matchup	6
7000	mate	22
7001	materi	52
7002	math	1
7003	mathemat	3
7004	mathewson	2
7005	mathieu	1
7006	matic	5
7007	matt	1
7008	matter	87
7009	matteroffact	1
7010	matthew	9
7011	mattingli	1
7012	mattress	5
7013	matur	2
7014	mauresmo	10
7015	mauricio	1
7016	mauritania	4
7017	mauro	2
7018	mausoleum	3
7019	maxim	2
7020	maximalist	1
7021	maximum	23
7022	maximumsecur	18
7023	mayb	54
7024	mayhem	3
7025	mayor	35
7026	maze	2
7027	mb	1
7028	mbeki	3
7029	mcalest	6
7030	mcarthur	1
7031	mcauliff	4
7032	mcavoy	1
7033	mccain	6
7034	mccarthi	3
7035	mcclean	1
7036	mcclure	2
7037	mccollum	7
7038	mccomb	1
7039	mcconnel	1
7040	mcdaniel	1
7041	mcdonald	3
7042	mcdoogl	3
7043	mcdougal	35
7044	mcduff	2
7045	mcduge	1
7046	mcenro	7
7047	mcgwire	2
7048	mci	1
7049	mcintosh	1
7050	mcnamara	1
7051	mcveigh	1
7052	md	10
7053	meager	2
7054	meal	8
7055	meaning	2
7056	meant	23
7057	meantim	14
7058	measur	90
7059	meat	4
7060	mecca	2
7061	mechan	11
7062	mechanicsvil	3
7063	medal	10
7064	medalist	7
7065	media	93
7066	mediat	24
7067	medic	124
7068	medicar	15
7069	medicin	20
7070	medina	6
7071	medinat	2
7072	mediterranean	6
7073	medium	4
7074	mediumlevel	1
7075	mediumsecur	2
7076	meena	1
7077	meet	251
7078	megaphon	1
7079	megawatt	2
7080	meghann	3
7081	megrahi	4
7082	meguid	1
7083	mehta	5
7084	mei	1
7085	mela	3
7086	melancholi	1
7087	melbourn	31
7088	mele	9
7089	melissa	6
7090	mell	1
7091	mellman	1
7092	melros	1
7093	melt	3
7094	melvin	4
7095	member	301
7096	membership	4
7097	memento	1
7098	memo	20
7099	memoir	1
7100	memor	4
7101	memorandum	1
7102	memori	71
7103	memphi	1
7104	men	379
7105	menac	1
7106	mend	3
7107	menet	4
7108	mengistu	1
7109	mensch	1
7110	mental	16
7111	mention	48
7112	mentor	1
7113	menu	2
7114	merced	7
7115	merchant	6
7116	merci	7
7117	merciless	1
7118	mere	17
7119	merg	3
7120	merger	2
7121	meri	2
7122	merianov	1
7123	merit	13
7124	merlin	2
7125	mermonsk	1
7126	mermosk	1
7127	mern	1
7128	merri	2
7129	mershon	15
7130	mesh	2
7131	mesmer	1
7132	mess	24
7133	messag	66
7134	messeng	1
7135	metal	38
7136	metalcutt	1
7137	metaledg	1
7138	metallurg	2
7139	metalsl	1
7140	metaphor	3
7141	meteorolog	6
7142	meteorologist	3
7143	meter	2
7144	method	15
7145	methodist	2
7146	methodolog	1
7147	methyl	1
7148	meticul	4
7149	metropolitan	1
7150	mexican	5
7151	mexico	56
7152	mia	14
7153	miami	15
7154	miamid	1
7155	miamidad	5
7156	miand	1
7157	micandinov	4
7158	mich	9
7159	michael	49
7160	michal	3
7161	michel	4
7162	michella	2
7163	michigan	29
7164	mickelson	3
7165	mickli	1
7166	microphon	2
7167	microscop	2
7168	micunov	3
7169	mid	21
7170	midafternoon	6
7171	midday	13
7172	middecemb	2
7173	middl	186
7174	middleclass	8
7175	mideast	29
7176	midgulf	1
7177	midmorn	1
7178	midnight	21
7179	midnovemb	2
7180	midoctob	1
7181	midpoint	1
7182	midsect	3
7183	midseptemb	4
7184	midst	7
7185	midstream	1
7186	midway	2
7187	midweek	1
7188	midwest	3
7189	midwestern	1
7190	mif	1
7191	mift	1
7192	mighti	4
7193	migrant	3
7194	migrat	6
7195	miguel	18
7196	mihailova	1
7197	mihajlov	6
7198	miiltari	1
7199	mik	1
7200	mike	34
7201	mikhail	8
7202	mikhailov	1
7203	mikilo	1
7204	miklaszeski	1
7205	miklaszewski	25
7206	miklaszweski	1
7207	milagro	2
7208	milan	10
7209	milanko	1
7210	milanov	2
7211	mild	7
7212	mildli	1
7213	mildr	1
7214	mile	214
7215	milelong	3
7216	mileston	2
7217	milica	2
7218	milit	70
7219	militantli	3
7220	militar	3
7221	militari	570
7222	militarili	11
7223	militarystyl	1
7224	militarytim	1
7225	militia	2
7226	militiamen	1
7227	milivoj	1
7228	milivojev	2
7229	milk	1
7230	milken	82
7231	millenni	1
7232	millennium	4
7233	miller	10
7234	millimet	2
7235	million	308
7236	millionair	15
7237	milliondollar	1
7238	milo	3
7239	milosev	1209
7240	miloseviccontrol	7
7241	milosov	2
7242	milovan	2
7243	milroy	3
7244	milutin	4
7245	milutinov	17
7246	milwauke	3
7247	minaret	2
7248	minc	1
7249	mind	41
7250	minder	2
7251	mindset	1
7252	minefield	1
7253	mineinfest	1
7254	miner	40
7255	mineremov	1
7256	minesweep	1
7257	mingl	5
7258	minh	40
7259	miniatur	1
7260	minim	3
7261	minimum	15
7262	minist	297
7263	ministri	40
7264	minivan	1
7265	minn	3
7266	minneapoli	2
7267	minner	2
7268	minnesota	18
7269	minnesotan	1
7270	minor	48
7271	mint	1
7272	minu	8
7273	minut	127
7274	mira	4
7275	miracl	12
7276	miracul	6
7277	miranda	9
7278	mirco	1
7279	miriam	1
7280	mirjana	9
7281	mirko	2
7282	miroljub	1
7283	miroslav	2
7284	miroslava	2
7285	mirror	3
7286	misappli	2
7287	miscalcul	1
7288	misconduct	1
7289	misconstru	1
7290	miscu	1
7291	misde	2
7292	misdemeanor	12
7293	miser	4
7294	miseri	1
7295	misfir	4
7296	misfortun	1
7297	misguid	1
7298	misha	2
7299	mishandl	7
7300	mishap	1
7301	mishra	1
7302	misinform	2
7303	misl	2
7304	mislead	1
7305	mismanag	3
7306	mismatch	4
7307	misnom	1
7308	mispronounc	1
7309	misrepres	1
7310	misrepresent	1
7311	miss	228
7312	missil	66
7313	mission	79
7314	missionari	3
7315	mississippi	14
7316	missouri	146
7317	missourian	7
7318	missouricolumbia	1
7319	misspel	1
7320	misstat	4
7321	misstep	2
7322	mistak	38
7323	mistaken	3
7324	mistreat	6
7325	mistress	6
7326	mistrust	1
7327	misunderstand	5
7328	misunderstood	4
7329	misus	2
7330	mitch	6
7331	mitchel	16
7332	mitic	2
7333	mitig	5
7334	mitra	1
7335	mitrovica	1
7336	mittman	1
7337	mix	26
7338	mixtur	3
7339	mladic	2
7340	mladjan	3
7341	moammar	1
7342	moan	1
7343	mob	30
7344	mobil	18
7345	mock	5
7346	mockeri	1
7347	mode	4
7348	model	13
7349	moder	31
7350	modern	24
7351	modest	7
7352	modifi	7
7353	mofrt	1
7354	mogul	5
7355	moham	29
7356	mohammad	1
7357	mohm	1
7358	mohsen	4
7359	moin	1
7360	molass	1
7361	mold	1
7362	mole	1
7363	molest	1
7364	molotov	1
7365	mom	5
7366	momcilo	1
7367	moment	150
7368	momentbymo	1
7369	moments	1
7370	momentum	14
7371	momir	5
7372	mommi	1
7373	mona	2
7374	monarch	1
7375	monarchi	3
7376	monasteri	2
7377	monday	375
7378	monetari	13
7379	money	170
7380	moneylaund	6
7381	monger	1
7382	monica	37
7383	moniqu	1
7384	monitor	15
7385	monopol	1
7386	monoxid	2
7387	monsignor	1
7388	mont	1
7389	montana	11
7390	montecino	11
7391	montelo	1
7392	montenegrin	17
7393	montenegro	44
7394	montesino	247
7395	montesinoss	1
7396	montesseno	2
7397	montgomeri	2
7398	month	372
7399	monthli	1
7400	monthlong	2
7401	monthold	6
7402	monticello	1
7403	montonegro	1
7404	montono	1
7405	montoursvil	1
7406	monument	4
7407	moo	1
7408	mood	23
7409	moolgd	1
7410	moon	1
7411	mooney	1
7412	mooni	1
7413	moor	77
7414	moorin	1
7415	moot	1
7416	mope	1
7417	moral	48
7418	morali	1
7419	morariu	6
7420	moratorium	6
7421	morelimit	1
7422	moreno	11
7423	moresmo	1
7424	morgan	1
7425	morgu	10
7426	mori	5
7427	morison	3
7428	mork	1
7429	morn	184
7430	moroccan	3
7431	morocco	8
7432	moros	1
7433	morph	1
7434	morrano	1
7435	morri	2
7436	morrisvil	2
7437	mortal	2
7438	mortar	4
7439	morton	6
7440	moscow	176
7441	mosqu	20
7442	mosquito	1
7443	mossad	2
7444	mostli	47
7445	mostvisit	1
7446	mostwant	7
7447	motahar	1
7448	motel	14
7449	motelapart	1
7450	moth	1
7451	mother	105
7452	motherland	1
7453	motherless	1
7454	motion	11
7455	motiv	24
7456	motley	1
7457	motor	46
7458	motorbik	1
7459	motorcad	13
7460	motorcycl	8
7461	motorist	1
7462	motsak	13
7463	motto	2
7464	mound	12
7465	mountain	54
7466	mountainsid	7
7467	mountaintop	1
7468	mourn	22
7469	mourner	16
7470	mourton	1
7471	mouth	4
7472	mouthpiec	3
7473	movement	45
7474	mover	4
7475	movi	11
7476	moviestar	1
7477	mow	2
7478	moya	14
7479	moynihan	6
7480	moyo	1
7481	mozambiqu	2
7482	mph	16
7483	mr	386
7484	mrclinton	1
7485	msnbc	5
7486	msnbccom	2
7487	mtv	1
7488	mubarak	23
7489	muchawait	1
7490	muchtalkedabout	1
7491	mud	28
7492	mudbrick	3
7493	mudcov	1
7494	muddi	5
7495	muddl	3
7496	mudslid	6
7497	mueller	11
7498	muezzin	1
7499	muffl	3
7500	mug	3
7501	mugab	8
7502	muham	1
7503	muhammad	10
7504	mujahedeen	1
7505	mujahedin	1
7506	mujahid	1
7507	mull	3
7508	mullah	2
7509	mulligan	1
7510	mullin	9
7511	mulshankar	8
7512	multifacet	2
7513	multilingu	1
7514	multimillion	1
7515	multimillionair	3
7516	multimilliondollar	2
7517	multin	4
7518	multiparti	2
7519	multipl	14
7520	multipli	1
7521	multistori	8
7522	multitud	2
7523	mum	2
7524	mumbai	1
7525	munchak	1
7526	mundan	2
7527	munich	1
7528	municip	17
7529	munit	3
7530	muprhi	1
7531	muqbel	12
7532	murder	78
7533	murdoch	2
7534	murk	1
7535	murki	4
7536	murmansk	5
7537	murmosk	1
7538	murousi	1
7539	murphi	43
7540	murray	7
7541	murtza	1
7542	muscl	4
7543	muscular	1
7544	muse	1
7545	museum	8
7546	museummuslim	1
7547	musharraf	4
7548	music	18
7549	musician	3
7550	muslim	112
7551	mustach	2
7552	muster	1
7553	mustnt	4
7554	mute	9
7555	mutil	2
7556	mutin	1
7557	mutini	11
7558	muttawakil	1
7559	mutter	1
7560	mutual	1
7561	myakka	2
7562	myasthenia	1
7563	mydan	1
7564	myer	7
7565	myong	2
7566	mysteri	17
7567	mystiqu	1
7568	myth	5
7569	mythic	1
7570	naacp	1
7571	nab	2
7572	nabil	1
7573	nachtig	7
7574	nacion	1
7575	nadejda	1
7576	nader	41
7577	nadia	1
7578	nadler	2
7579	nadu	1
7580	nagel	1
7581	nagl	1
7582	nagyova	3
7583	nailbit	1
7584	nailstud	2
7585	naina	5
7586	nainabehn	1
7587	nairobi	7
7588	nairri	1
7589	naiv	1
7590	naji	2
7591	najjar	1
7592	nake	2
7593	namast	1
7594	nambiar	1
7595	namesak	1
7596	namrata	8
7597	nanci	5
7598	nanni	1
7599	nanuet	2
7600	naoya	1
7601	nap	2
7602	narayan	2
7603	narayanan	2
7604	narbheram	1
7605	narcot	16
7606	narr	1
7607	narrow	34
7608	narrowlan	1
7609	narrowli	9
7610	nasa	1
7611	nasdaq	1
7612	nashvil	11
7613	nasir	1
7614	nasr	1
7615	nassou	2
7616	nasti	1
7617	nastier	1
7618	natalia	1
7619	nath	1
7620	nati	1
7621	nation	683
7622	nationalist	23
7623	nationwid	24
7624	nativ	19
7625	nato	101
7626	natol	1
7627	natta	1
7628	natter	25
7629	natur	49
7630	nauf	1
7631	navajo	7
7632	naval	140
7633	navarro	1
7634	navasota	1
7635	navel	1
7636	navi	610
7637	navig	2
7638	navnirman	1
7639	navrotski	20
7640	navyblu	1
7641	navyl	1
7642	navymen	2
7643	navytown	1
7644	nazi	3
7645	nb	1
7646	nbc	139
7647	nbcnew	1
7648	near	210
7649	nearbi	74
7650	nearest	1
7651	nearli	140
7652	nearmiracul	1
7653	nearsavag	2
7654	neat	4
7655	neatli	1
7656	neb	1
7657	nebojsa	15
7658	nebraska	5
7659	necess	2
7660	necessari	31
7661	necessarili	10
7662	necessit	3
7663	neck	9
7664	neckandneck	3
7665	ned	2
7666	need	347
7667	needi	1
7668	neediest	1
7669	needl	1
7670	neeman	1
7671	neg	12
7672	negat	1
7673	neglect	2
7674	neglig	4
7675	negoti	97
7676	neighbor	98
7677	neighborhood	90
7678	neighborli	5
7679	nelli	1
7680	nelson	12
7681	nemesi	4
7682	nemeth	3
7683	nena	1
7684	nenad	30
7685	nenadov	1
7686	nene	2
7687	neocommunist	7
7688	nepal	8
7689	nephew	5
7690	neruda	3
7691	nerv	5
7692	nervou	12
7693	nervous	4
7694	nese	1
7695	ness	2
7696	nest	2
7697	net	107
7698	netherland	15
7699	network	81
7700	neutral	4
7701	nevada	9
7702	neversayquit	1
7703	nevypolneniy	1
7704	new	899
7705	newark	1
7706	newburi	39
7707	newcomb	1
7708	newer	1
7709	newest	6
7710	newfound	2
7711	newli	35
7712	newlyw	2
7713	newport	2
7714	news	516
7715	newscast	8
7716	newscom	1
7717	newslett	4
7718	newsmagazin	2
7719	newspap	70
7720	newspet	3
7721	newsroom	1
7722	newsstand	1
7723	newsweek	3
7724	newswir	1
7725	nextdoor	2
7726	nextofkin	1
7727	nexttolast	1
7728	nfl	1
7729	ngan	1
7730	ngo	4
7731	ngoc	2
7732	nguessan	2
7733	nguyen	7
7734	nhan	1
7735	nhema	1
7736	nic	2
7737	nicaragua	3
7738	nice	10
7739	niceti	1
7740	nich	1
7741	nichola	2
7742	nick	7
7743	nicknam	5
7744	nicodem	2
7745	nicol	3
7746	nicola	10
7747	nidal	1
7748	niec	3
7749	nielsen	1
7750	nien	2
7751	nieto	1
7752	nigeria	14
7753	nigerian	1
7754	night	299
7755	nightclub	3
7756	nightfal	3
7757	nightgown	2
7758	nightli	2
7759	nightmar	6
7760	nightmarish	1
7761	nighttim	5
7762	nighttimeincloud	1
7763	nightvis	1
7764	nikit	1
7765	nikol	3
7766	nikola	3
7767	niksic	2
7768	nimesh	1
7769	nina	5
7770	ninehour	1
7771	ninepag	1
7772	ninepoint	1
7773	ninestori	1
7774	nineti	1
7775	nineyearold	1
7776	nino	1
7777	ninth	37
7778	nip	2
7779	nirmala	1
7780	nissan	3
7781	nitex	2
7782	nitrat	1
7783	nittygritti	1
7784	nixon	19
7785	nj	6
7786	nm	1
7787	nobl	3
7788	nobleman	1
7789	nobodi	39
7790	nod	2
7791	noi	1
7792	nois	8
7793	noisi	1
7794	nolan	4
7795	noman	1
7796	nomin	30
7797	nomine	22
7798	nonchalantli	1
7799	nonclassifi	1
7800	nonclear	1
7801	noncommiss	1
7802	nondiscrimin	1
7803	nonessenti	3
7804	nonetheless	9
7805	nonexist	5
7806	nongover	1
7807	nongovern	2
7808	nongovernment	1
7809	nonjew	2
7810	nonjewish	2
7811	nonmilitari	1
7812	nonmuslim	1
7813	nonneman	2
7814	nonpartisan	6
7815	nonpolit	2
7816	nonprofit	3
7817	nonsaudi	1
7818	nonsens	2
7819	nonspecif	1
7820	nonstat	1
7821	nonstop	4
7822	nonviol	15
7823	nonword	1
7824	nonyemeni	10
7825	norah	1
7826	norfolk	94
7827	norm	3
7828	normal	91
7829	normalci	1
7830	norman	24
7831	north	107
7832	northeast	10
7833	northeastern	6
7834	northern	82
7835	northernbas	3
7836	northup	4
7837	northward	1
7838	northwest	20
7839	northwestern	3
7840	norton	2
7841	norway	15
7842	norwegian	55
7843	norwegianown	1
7844	nose	3
7845	noshow	1
7846	nostalgia	2
7847	notabl	10
7848	notch	4
7849	note	129
7850	notebook	2
7851	notic	19
7852	notif	1
7853	notifi	23
7854	notion	4
7855	notori	6
7856	notorieti	1
7857	notr	2
7858	notwithstand	2
7859	nov	43
7860	novel	3
7861	novelist	2
7862	novemb	35
7863	novi	5
7864	novic	1
7865	novost	1
7866	novosti	3
7867	novot	1
7868	nowaday	1
7869	nowdefunct	1
7870	nowdemolish	1
7871	nowdisqualifi	2
7872	nowfugit	1
7873	nowoust	3
7874	npr	14
7875	ntsb	5
7876	nuanc	1
7877	nuclear	59
7878	nuclearpow	4
7879	nude	1
7880	nudg	3
7881	nuffer	1
7882	null	1
7883	nullifi	9
7884	numb	1
7885	number	183
7886	numer	21
7887	nun	1
7888	nuria	3
7889	nurs	9
7890	nurtur	2
7891	nuvajubhai	2
7892	oa	2
7893	oakland	1
7894	oasi	2
7895	oath	18
7896	oathtak	1
7897	oaxa	1
7898	obannon	1
7899	obedi	2
7900	obey	9
7901	obituari	1
7902	object	41
7903	oblig	13
7904	obliqu	1
7905	obliter	2
7906	obrad	1
7907	obradov	3
7908	obrenovac	1
7909	obrien	1
7910	obscen	2
7911	obscur	6
7912	observ	54
7913	observatori	1
7914	obsess	2
7915	obstacl	15
7916	obstinaci	1
7917	obstruct	3
7918	obstructionist	1
7919	obtain	73
7920	obviou	13
7921	obvious	55
7922	obyazatelstv	1
7923	occas	19
7924	occasion	14
7925	occup	11
7926	occupi	16
7927	occur	80
7928	ocean	13
7929	ochoa	3
7930	oclock	4
7931	oconnel	1
7932	oct	127
7933	octob	84
7934	octopu	3
7935	odd	10
7936	odeh	1
7937	odium	1
7938	odlon	2
7939	odolon	2
7940	odonnel	4
7941	offbal	1
7942	offcamera	1
7943	offenc	1
7944	offend	18
7945	offens	20
7946	offer	165
7947	offic	658
7948	offici	1351
7949	offpost	1
7950	offseason	2
7951	offshoot	1
7952	offshor	12
7953	offthecuff	1
7954	ofici	1
7955	oftenthuggish	2
7956	ofussia	1
7957	ogen	1
7958	ognjen	1
7959	oh	17
7960	ohio	9
7961	oik	1
7962	oil	49
7963	oilconsum	1
7964	oildril	1
7965	oiler	2
7966	oilfield	1
7967	oili	4
7968	oilproduc	2
7969	oilrich	3
7970	oiltrad	1
7971	ojdan	8
7972	ok	16
7973	okay	10
7974	okaz	1
7975	okeef	1
7976	okla	2
7977	oklahoma	21
7978	oklia	1
7979	old	99
7980	olden	2
7981	older	16
7982	oldest	10
7983	oldfashion	1
7984	oldstyl	1
7985	oldtim	1
7986	oleg	2
7987	olga	3
7988	oliv	4
7989	oliva	2
7990	olivegreen	1
7991	olivera	8
7992	olivo	1
7993	oloroc	1
7994	olsen	9
7995	olson	1
7996	olymp	21
7997	olympia	3
7998	olympian	1
7999	omah	2
8000	oman	4
8001	omar	9
8002	ombudsman	4
8003	omen	3
8004	omiss	2
8005	omit	2
8006	omnivor	1
8007	onal	1
8008	onboard	4
8009	oncebustl	1
8010	oncedomin	1
8011	onceformid	2
8012	oncefriendli	1
8013	oncemargin	1
8014	oncepow	2
8015	oncepromin	3
8016	oncourt	2
8017	onebyon	1
8018	oneday	5
8019	onehour	2
8020	oneil	7
8021	oneinch	1
8022	oneparti	1
8023	onequart	3
8024	oneroom	1
8025	onesid	1
8026	onetenth	1
8027	onethird	3
8028	onetim	21
8029	onevot	1
8030	oneway	1
8031	oneyear	1
8032	ongo	15
8033	onkar	2
8034	onli	544
8035	onlin	1
8036	onlook	9
8037	onscen	1
8038	onsit	1
8039	onslaught	1
8040	onward	1
8041	opec	2
8042	open	536
8043	openair	7
8044	openfront	2
8045	openli	18
8046	openspac	1
8047	oper	283
8048	opera	2
8049	opinion	28
8050	oppon	92
8051	opportun	37
8052	oppos	49
8053	opposit	596
8054	oppositioncontrol	6
8055	oppositionl	1
8056	oppositionrun	2
8057	opt	5
8058	optic	2
8059	optim	4
8060	optimist	12
8061	option	70
8062	opul	4
8063	oracl	1
8064	oral	1
8065	orang	10
8066	orangereddish	1
8067	orano	1
8068	orat	2
8069	oratori	1
8070	orbit	1
8071	orchard	1
8072	orchestr	4
8073	ordeal	5
8074	order	187
8075	orderli	6
8076	ordin	1
8077	ordinari	19
8078	ordnanc	12
8079	oregon	12
8080	oregonstyl	1
8081	oreman	1
8082	organ	151
8083	organiz	2
8084	orgi	1
8085	orient	6
8086	origin	50
8087	orissa	1
8088	orlando	4
8089	orlean	1
8090	orphan	1
8091	orrin	2
8092	ortega	6
8093	ortel	1
8094	orthodox	28
8095	orthoped	2
8096	ortiz	5
8097	osama	101
8098	oscar	7
8099	oshima	4
8100	oshman	7
8101	oskinoff	2
8102	oslo	2
8103	osprey	2
8104	osseo	1
8105	ostentati	1
8106	osteochondrosi	1
8107	ostrichlik	1
8108	otpor	3
8109	ottoman	6
8110	ouattara	170
8111	ought	25
8112	oui	1
8113	ouof	1
8114	oust	55
8115	ouster	9
8116	outboard	5
8117	outbreak	6
8118	outburst	3
8119	outclass	1
8120	outcom	60
8121	outcri	1
8122	outdoor	5
8123	outer	14
8124	outfit	6
8125	outgo	9
8126	outgrowth	2
8127	outgun	1
