t_index	term	df
516	antibiot	5
517	antibush	1
518	anticastro	1
519	anticip	19
520	anticlimact	1
521	anticommunist	2
522	anticorrupt	2
523	antidiarrhea	1
524	antifbi	4
525	antiislam	3
526	antiisrael	2
527	antimilitari	1
528	antimilosev	25
529	antimissil	1
530	antinorthern	1
531	antiradar	1
532	antiship	2
533	antisoviet	1
534	antisubmarin	1
535	antiterror	6
536	antiterrorist	9
537	antiu	11
538	antiwar	8
539	antiwestern	6
540	antonia	7
541	antonin	1
542	antonio	29
543	anwar	4
544	anxieti	3
545	anxiou	12
546	anxious	2
547	anybodi	18
548	anymor	11
549	anytim	4
550	aok	1
551	aon	1
552	apart	108
553	ape	1
554	apec	6
555	apex	1
556	apolit	1
557	apolog	25
558	appal	1
559	appallingli	1
560	appar	236
561	apparatu	8
562	appeal	119
563	appear	270
564	appel	1
565	appetit	2
566	appl	4
567	applaud	10
568	applaus	9
569	applepick	1
570	appleton	3
571	appli	18
572	applic	37
573	appoint	98
574	appointe	3
575	apprais	3
576	appreci	18
577	apprehend	8
578	apprehens	2
579	apprentic	4
580	appris	1
581	approach	67
582	appropri	20
583	approv	28
584	approxim	12
585	april	87
586	aprista	4
587	apron	1
588	aquil	2
589	arab	125
590	arabamerican	4
591	arabi	3
592	arabia	126
593	arabian	58
594	arabianborn	1
595	arablanguag	3
596	arablook	1
597	arabspeak	1
598	arafat	33
599	arantxa	3
600	arazi	8
601	arbadi	1
602	arbit	1
603	arbitrari	2
604	arbitrarili	1
605	arc	1
606	arch	2
607	archaeolog	2
608	archbishop	5
609	archer	3
610	archeri	4
611	archetyp	1
612	archi	6
613	archibald	1
614	architect	7
615	architectur	5
616	arctic	6
617	ardent	4
618	arduou	1
619	area	298
620	arena	25
621	arent	18
622	argentin	1
623	argentina	10
624	argu	52
625	arguabl	2
626	argument	22
627	ari	1
628	arid	5
629	arif	1
630	arisen	1
631	arithmet	1
632	aritomi	4
633	ariz	7
634	arizona	7
635	ark	9
636	arkadelphia	1
637	arkan	1
638	arkansa	47
639	arkansasbas	1
640	arkin	2
641	arleigh	2
642	arleighburkeclass	1
643	arlen	2
644	arlington	9
645	arm	180
646	armament	2
647	armbrist	4
648	armenia	2
649	armey	1
650	armi	202
651	armitag	1
652	armor	17
653	armori	3
654	arn	5
655	arnaud	18
656	arni	1
657	arno	1
658	arnold	3
659	arnot	1
660	aros	5
661	arous	1
662	arraign	2
663	arrang	43
664	array	5
665	arrear	1
666	arrest	185
667	arriv	265
668	arrog	5
669	arrow	4
670	arsen	10
671	arseni	1
672	arsonist	1
673	arthriti	1
674	arthur	4
675	articl	8
676	articul	1
677	artifact	1
678	artifici	4
679	artist	5
680	artudo	1
681	arturo	6
682	aruba	2
683	aryapov	1
684	asa	1
685	asahi	1
686	ascend	2
687	ascrib	4
688	asean	1
689	ash	4
690	asham	1
691	ashcroft	200
692	ashkroft	1
693	ashok	1
694	ashor	2
695	ashraf	1
696	ashshaab	1
697	ashtray	1
698	asia	28
699	asian	16
700	asiapacif	16
701	asid	32
702	ask	256
703	aspect	11
704	aspir	2
705	assad	2
706	assail	4
707	assam	6
708	assassin	22
709	assault	43
710	assembl	19
711	assemblyforexport	1
712	assert	23
713	assess	58
714	asset	13
715	assign	31
716	assist	88
717	assistedsuicid	1
718	associ	137
719	associateturnedinform	3
720	assort	1
721	assum	49
722	assumpt	7
723	assur	38
724	assuredli	2
725	astakhov	38
726	asterisk	2
727	astonish	7
728	astound	2
729	astronom	1
730	astut	1
731	asylum	42
732	asymmetr	3
733	atal	15
734	atck	2
735	atf	2
736	atfein	1
737	athal	1
738	athlet	4
739	atlant	18
740	atlanta	10
741	atmat	1
742	atmospher	10
743	atom	4
744	atop	15
745	atp	3
746	atroc	12
747	atrophi	1
748	atsea	3
749	attach	16
750	attack	893
751	attain	1
752	attempt	130
753	attend	81
754	attent	73
755	attest	3
756	attitud	12
757	attorney	82
758	attract	16
759	attribut	12
760	attrit	1
761	atwan	1
762	aubrey	20
763	aubri	5
764	audienc	18
765	audio	5
766	audiotap	1
767	auditor	5
768	auditorium	1
769	aug	38
770	augment	1
771	august	35
772	aunt	3
773	aur	6
774	aura	1
775	aurora	4
776	ausi	1
777	aussi	10
778	auster	2
779	austin	22
780	australia	33
781	australian	177
782	austria	4
783	austrian	1
784	austrohungarian	1
785	authent	2
786	author	394
787	authoritarian	29
788	auto	1
789	autocrat	36
790	autograph	2
791	autom	1
792	automat	18
793	automobil	5
794	autonom	1
795	autonomi	3
796	autopilot	1
797	autopsi	1
798	autumn	2
799	avail	47
800	avala	1
801	avalanch	1
802	aveng	7
803	avent	1
804	avenu	8
805	averag	14
806	avert	6
807	aviat	3
808	aviv	7
809	avner	2
810	avoid	72
811	avow	1
812	aw	12
813	awad	2
814	await	29
815	awaken	2
816	awar	19
817	award	10
818	away	207
819	awe	3
820	aweigh	1
821	awestruck	1
822	awkward	4
823	awn	4
824	awok	1
825	axam	1
826	axe	1
827	ayatollah	1
828	aykroyd	1
829	ayman	5
830	aynaoui	2
831	ayr	1
832	ayyam	2
833	az	1
834	aziz	1
835	azul	1
836	azulay	3
837	babenko	4
838	babi	22
839	babkin	25
840	baboa	2
841	backa	1
842	backandforth	1
843	backbo	2
844	backcourt	1
845	backdrop	4
846	backer	23
847	backfir	5
848	background	5
849	backhand	20
850	backho	1
851	backlash	3
852	backstop	2
853	backtoback	5
854	backup	2
855	backward	3
856	backyard	1
857	bacon	41
858	bad	42
859	badg	3
860	badli	41
861	badrasen	6
862	baffl	2
863	bag	14
864	bagad	1
865	baggag	2
866	baghbel	1
867	baghdad	3
868	bahgbo	5
869	bahrain	51
870	bahrainbas	3
871	bai	1
872	baijubahi	2
873	bail	4
874	bailey	8
875	baird	2
876	bairnt	1
877	bakarec	3
878	bake	2
879	baken	4
880	baker	7
881	bakhshish	1
882	bakri	8
883	balanc	22
884	balawat	2
885	balcacer	2
886	balconi	11
887	bald	1
888	balintkurti	1
889	balk	4
890	balkan	45
891	ball	40
892	ballard	2
893	ballast	3
894	ballena	1
895	ballist	1
896	ballo	1
897	balloon	3
898	ballot	109
899	ballroom	2
900	ballstrik	1
901	balonia	1
902	balsamo	1
903	baltimor	7
904	baltin	2
905	bamba	6
906	bambi	2
907	bamboo	2
908	bamboosupport	2
909	bament	1
910	ban	30
911	banco	1
912	band	21
913	bandag	18
914	bandanna	3
915	bandit	1
916	bang	7
917	bangalor	1
918	bangaru	3
919	bangladesh	8
920	bank	95
921	banker	10
922	bankfraud	1
923	bankrupt	6
924	bankruptci	6
925	banner	9
926	banquet	1
927	baptist	5
928	bar	66
929	barak	14
930	barb	4
931	barbar	2
932	barbara	28
933	barber	1
934	barbershop	1
935	barcelona	1
936	bare	50
937	barefacedli	1
938	barent	47
939	barg	4
940	bargain	13
941	bari	1
942	bark	1
943	barkina	4
944	barkolla	1
945	barkova	5
946	barna	4
947	barney	1
948	barnstorm	1
949	barot	1
950	barov	1
951	barr	1
952	barrack	36
953	barrag	2
954	barrel	2
955	barrera	4
956	barri	1
957	barricad	23
958	barrier	16
959	bartlett	2
